organism	genus	family	order	class	phylum	superkingdom
Shewanella_oneidensis_MR-1	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Rhodobacter_sphaeroides_2.4.1	Rhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Rickettsia_conorii_str._Malish_7	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
Rickettsia_prowazekii_str._Madrid_E	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
Rhizobium_etli_CFN_42	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Gramella_forsetii_KT0803	Gramella	Flavobacteriaceae	Flavobacteriales	Flavobacteria	Bacteroidetes	Bacteria
Haemophilus_influenzae_PittEE	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
Haemophilus_influenzae_PittGG	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
Streptococcus_pyogenes_MGAS9429	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Carboxydothermus_hydrogenoformans_Z-2901	Carboxydothermus	Thermoanaerobacteraceae	Thermoanaerobacterales	Clostridia	Firmicutes	Bacteria
Dichelobacter_nodosus_VCS1703A	Dichelobacter	Cardiobacteriaceae	Cardiobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Mycobacterium_smegmatis_str._MC2_155	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Myxococcus_xanthus_DK_1622	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Corynebacterium_glutamicum_R	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Oryzias_latipes	Oryzias	Adrianichthyidae	Beloniformes	Actinopterygii	Chordata	Eukaryota
Legionella_pneumophila_str._Corby	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
Marinobacter_aquaeolei_VT8	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Burkholderia_pseudomallei_668	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Burkholderia_pseudomallei_1710b	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Giardia_lamblia_ATCC_50803	Giardia	Hexamitidae				Eukaryota
Francisella_tularensis_subsp._tularensis_WY96-3418	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Pseudomonas_putida_KT2440	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Bacillus_pumilus_SAFR-032	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Shewanella_amazonensis_SB2B	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Methanocaldococcus_jannaschii_DSM_2661	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea
Methylococcus_capsulatus_str._Bath	Methylococcus	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
Deinococcus_radiodurans_R1	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria
Geobacter_sulfurreducens_PCA	Geobacter	Geobacteraceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria
Ignicoccus_hospitalis_KIN4/I	Ignicoccus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea
Pyrobaculum_arsenaticum_DSM_13514	Pyrobaculum	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea
Mus_musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Eukaryota
Yersinia_pestis_CO92	Yersinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Streptococcus_thermophilus_CNRZ1066	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Bacteroides_fragilis_YCH46	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Escherichia_coli_O157:H7_EDL933	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Streptococcus_sanguinis_SK36	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Dehalococcoides_ethenogenes_195	Dehalococcoides			Dehalococcoidetes	Chloroflexi	Bacteria
Xanthomonas_campestris_pv._campestris_str._8004	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Pseudomonas_syringae_pv._tomato_str._DC3000	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Clostridium_botulinum_F_str._Langeland	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Clostridium_botulinum_A_str._Hall	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Clostridium_botulinum_A_str._ATCC_19397	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Clostridium_perfringens_str._13	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Clostridium_perfringens_ATCC_13124	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Synechococcus_elongatus_PCC_6301	Synechococcus		Chroococcales		Cyanobacteria	Bacteria
Pseudomonas_syringae_pv._phaseolicola_1448A	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Neisseria_meningitidis_FAM18	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Helicobacter_pylori_J99	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Helicobacter_pylori_26695	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Bacillus_cereus_ATCC_14579	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Azoarcus_sp._EbN1	Aromatoleum	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
Geobacillus_thermodenitrificans_NG80-2	Geobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Streptococcus_pyogenes_MGAS10270	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Staphylococcus_aureus_subsp._aureus_NCTC_8325	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Streptococcus_pyogenes_MGAS2096	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Salinibacter_ruber_DSM_13855	Salinibacter	Rhodothermaceae	Sphingobacteriales	Sphingobacteria	Bacteroidetes	Bacteria
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC_9150	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Staphylococcus_aureus_subsp._aureus_USA300	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Chlamydia_trachomatis_A/HAR-13	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiae (class)	Chlamydiae	Bacteria
Solibacter_usitatus_Ellin6076	Candidatus Solibacter	Solibacteraceae	Solibacterales	Solibacteres	Acidobacteria	Bacteria
Desulfovibrio_desulfuricans_G20	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Pyrococcus_furiosus_DSM_3638	Pyrococcus	Thermococcaceae	Thermococcales	Thermococci	Euryarchaeota	Archaea
Francisella_tularensis_subsp._tularensis_FSC198	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Arthrobacter_aurescens_TC1	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Clostridium_botulinum_A_str._ATCC_3502	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Nanoarchaeum_equitans_Kin4-M	Nanoarchaeum				Nanoarchaeota	Archaea
Paracoccus_denitrificans_PD1222	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Mycobacterium_bovis_AF2122/97	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Haemophilus_ducreyi_35000HP	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
Magnetospirillum_magneticum_AMB-1	Magnetospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Xanthomonas_oryzae_pv._oryzae_MAFF_311018	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Thermosipho_melanesiensis_BI429	Thermosipho	Thermotogaceae	Thermotogales	Thermotogae (class)	Thermotogae	Bacteria
Rickettsia_rickettsii_str._'Sheila_Smith'	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
Bacillus_thuringiensis_serovar_konkukian_str._97-27	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Methanosphaera_stadtmanae_DSM_3091	Methanosphaera	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
Polaromonas_sp._JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Bradyrhizobium_sp._BTAi1	Bradyrhizobium	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Debaryomyces_hansenii	Debaryomyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota
Streptococcus_pneumoniae_TIGR4	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Yarrowia_lipolytica	Yarrowia	Dipodascaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota
Cavia_porcellus	Cavia	Caviidae	Rodentia	Mammalia	Chordata	Eukaryota
Streptococcus_pneumoniae_D39	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Hyphomonas_neptunium_ATCC_15444	Hyphomonas	Hyphomonadaceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Xanthomonas_campestris_pv._campestris_str._ATCC_33913	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Methanosarcina_barkeri_str._Fusaro	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
Rhodospirillum_rubrum_ATCC_11170	Rhodospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Geobacter_metallireducens_GS-15	Geobacter	Geobacteraceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria
Cytophaga_hutchinsonii_ATCC_33406	Cytophaga	Flexibacteraceae	Sphingobacteriales	Sphingobacteria	Bacteroidetes	Bacteria
Synechococcus_sp._JA-3-3Ab	Synechococcus		Chroococcales		Cyanobacteria	Bacteria
Escherichia_coli_536	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Clostridium_perfringens_SM101	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Rhodopseudomonas_palustris_CGA009	Rhodopseudomonas	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Thermotoga_maritima_MSB8	Thermotoga	Thermotogaceae	Thermotogales	Thermotogae (class)	Thermotogae	Bacteria
Shewanella_pealeana_ATCC_700345	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Lactobacillus_acidophilus_NCFM	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578	Klebsiella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Lactococcus_lactis_subsp._lactis_Il1403	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Lactococcus_lactis_subsp._cremoris_SK11	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
Listeria_innocua_Clip11262	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Methylibium_petroleiphilum_PM1	Methylibium		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Streptococcus_pyogenes_MGAS8232	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus_agalactiae_2603V/R	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Caulobacter_crescentus_CB15	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Coxiella_burnetii_Dugway_7E9-12	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
Shewanella_denitrificans_OS217	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Thiomicrospira_crunogena_XCL-2	Thiomicrospira	Piscirickettsiaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Polynucleobacter_sp._QLW-P1DMWA-1	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Shewanella_frigidimarina_NCIMB_400	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Arthrobacter_sp._FB24	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Chromohalobacter_salexigens_DSM_3043	Chromohalobacter	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Chlamydia_muridarum_Nigg	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiae (class)	Chlamydiae	Bacteria
Streptococcus_thermophilus_LMG_18311	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Thermoplasma_volcanium_GSS1	Thermoplasma	Thermoplasmataceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Archaea
Ureaplasma_parvum_serovar_3_str._ATCC_700970	Ureaplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Vibrio_parahaemolyticus_RIMD_2210633	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Gluconobacter_oxydans_621H	Gluconobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Synechococcus_sp._WH_8102	Synechococcus		Chroococcales		Cyanobacteria	Bacteria
Staphylococcus_aureus_subsp._aureus_COL	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Sulfolobus_solfataricus_P2	Sulfolobus	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea
Prochlorococcus_marinus_str._MIT_9215	Prochlorococcus	Prochlorococcaceae	Prochlorales		Cyanobacteria	Bacteria
Lawsonia_intracellularis_PHE/MN1-00	Lawsonia	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Streptococcus_pyogenes_MGAS315	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Photorhabdus_luminescens_subsp._laumondii_TTO1	Photorhabdus	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Natronomonas_pharaonis_DSM_2160	Natronomonas	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea
Synechococcus_sp._WH_7803	Synechococcus		Chroococcales		Cyanobacteria	Bacteria
Mycoplasma_agalactiae_PG2	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Prochlorococcus_marinus_str._NATL2A	Prochlorococcus	Prochlorococcaceae	Prochlorales		Cyanobacteria	Bacteria
Prochlorococcus_marinus_str._MIT_9303	Prochlorococcus	Prochlorococcaceae	Prochlorales		Cyanobacteria	Bacteria
Janthinobacterium_sp._Marseille	Janthinobacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Nitrobacter_hamburgensis_X14	Nitrobacter	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Staphylococcus_aureus_subsp._aureus_JH9	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Mycoplasma_hyopneumoniae_232	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Salmonella_typhimurium_LT2	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Mycoplasma_genitalium_G37	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Chlorobium_tepidum_TLS	Chlorobaculum	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
Staphylococcus_aureus_subsp._aureus_JH1	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Vibrio_fischeri_ES114	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Streptococcus_pyogenes_MGAS10394	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Nitrobacter_winogradskyi_Nb-255	Nitrobacter	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Syntrophus_aciditrophicus_SB	Syntrophus	Syntrophaceae	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
Mycobacterium_tuberculosis_F11	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Burkholderia_ambifaria_AMMD	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Actinobacillus_succinogenes_130Z	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
Staphylococcus_aureus_subsp._aureus_N315	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Staphylococcus_aureus_subsp._aureus_Mu50	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Erwinia_carotovora_subsp._atroseptica_SCRI1043	Pectobacterium	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Sphingopyxis_alaskensis_RB2256	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Dehalococcoides_sp._BAV1	Dehalococcoides			Dehalococcoidetes	Chloroflexi	Bacteria
Helicobacter_acinonychis_str._Sheeba	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Pelotomaculum_thermopropionicum_SI	Pelotomaculum	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Flavobacterium_johnsoniae_UW101	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteria	Bacteroidetes	Bacteria
Vibrio_vulnificus_CMCP6	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Buchnera_aphidicola_str._Cc_(Cinara_cedri)	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Methanosarcina_mazei_Go1	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
Lactobacillus_casei_ATCC_334	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Arabidopsis_thaliana	Arabidopsis	Brassicaceae	Brassicales		Streptophyta	Eukaryota
Deinococcus_geothermalis_DSM_11300	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria
Methanoculleus_marisnigri_JR1	Methanoculleus	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea
Lactobacillus_gasseri_ATCC_33323	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Pseudoalteromonas_atlantica_T6c	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Neorickettsia_sennetsu_str._Miyayama	Neorickettsia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
Thermofilum_pendens_Hrk_5	Thermofilum	Thermofilaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea
Frankia_alni_ACN14a	Frankia	Frankiaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Streptococcus_pyogenes_MGAS6180	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Anaeromyxobacter_dehalogenans_2CP-C	Anaeromyxobacter	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Bacillus_amyloliquefaciens_FZB42	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Francisella_tularensis_subsp._holarctica	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
Roseobacter_denitrificans_OCh_114	Roseobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Encephalitozoon_cuniculi	Encephalitozoon	Unikaryonidae			Microsporidia	Eukaryota
Haloquadratum_walsbyi_DSM_16790	Haloquadratum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea
Streptococcus_pyogenes_MGAS5005	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Mesorhizobium_sp._BNC1	Chelativorans	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methanobrevibacter_smithii_ATCC_35061	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
Erinaceus_europaeus	Erinaceus	Erinaceidae	Insectivora	Mammalia	Chordata	Eukaryota
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	Wigglesworthia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Methanococcus_maripaludis_S2	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea
Dasypus_novemcinctus	Dasypus	Dasypodidae	Xenarthra	Mammalia	Chordata	Eukaryota
Oryctolagus_cuniculus	Oryctolagus	Leporidae	Lagomorpha	Mammalia	Chordata	Eukaryota
Danio_rerio	Danio	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Eukaryota
Drosophila_melanogaster	Drosophila	Drosophilidae	Diptera	Insecta	Arthropoda	Eukaryota
Tropheryma_whipplei_TW08/27	Tropheryma		Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Chlamydophila_abortus_S26/3	Chlamydophila	Chlamydiaceae	Chlamydiales	Chlamydiae (class)	Chlamydiae	Bacteria
Salinispora_tropica_CNB-440	Salinispora	Micromonosporaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Yersinia_pestis_Nepal516	Yersinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Methanosaeta_thermophila_PT	Methanosaeta	Methanosaetaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
Clostridium_tetani_E88	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Prochlorococcus_marinus_str._MIT_9301	Prochlorococcus	Prochlorococcaceae	Prochlorales		Cyanobacteria	Bacteria
Methylobacillus_flagellatus_KT	Methylobacillus	Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	Bacteria
Felis_catus	Felis	Felidae	Carnivora	Mammalia	Chordata	Eukaryota
Prochlorococcus_marinus_str._MIT_9515	Prochlorococcus	Prochlorococcaceae	Prochlorales		Cyanobacteria	Bacteria
