organism	genus	family	order	class	phylum	superkingdom
Acidobacteria_bacterium_Ellin345	Candidatus Koribacter	Acidobacteria	Acidobacteria	Acidobacteria	Acidobacteria	Bacteria
Plasmodium_falciparum	Plasmodium	Haemosporida	Haemosporida	Aconoidasida	Apicomplexa	Eukaryota
Acidothermus_cellulolyticus_11B	Acidothermus	Acidothermaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Tropheryma_whipplei_TW08/27	Tropheryma	Actinomycetales	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Tropheryma_whipplei_str._Twist	Tropheryma	Actinomycetales	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Corynebacterium_glutamicum_R	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Corynebacterium_efficiens_YS-314	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Corynebacterium_jeikeium_K411	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Corynebacterium_glutamicum_ATCC_13032	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Corynebacterium_diphtheriae_NCTC_13129	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Frankia_alni_ACN14a	Frankia	Frankiaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Frankia_sp._CcI3	Frankia	Frankiaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Kineococcus_radiotolerans_SRS30216	Kineococcus	Kineosporiaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382	Clavibacter	Microbacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Leifsonia_xyli_subsp._xyli_str._CTCB07	Leifsonia	Microbacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Arthrobacter_aurescens_TC1	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
Arthrobacter_sp._FB24	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	Bacteria
